id,pytanie,ilustracja,odpa,odpb,odpc
168,"Zasadniczymi zaletami diody TVS (Transil) są:",,"szybkie przełączanie i rozpraszanie dużych chwilowych mocy","spadek napięcia rzędu 1 mV i bardzo mała pojemność złącza","dodatkowy zacisk sterujący i liniowa charakterystyka prądowo-napięciowa"
169,"Na wyjściu transformatora sieciowego napięcie skuteczne jest równe 300 V. Czy w prostowniku jednopołówkowym można użyć diody wytrzymującej napięcie wsteczne 400 V?",,"tak","nie","tak, ale tylko przy małych obciążeniach"
171,"Tranzystory bipolarne i polowe sterujemy odpowiednio:",,"napięciem i prądem","prądem i prądem","prądem i napięciem"
173,"W idealnym tranzystorze MOSFET prąd wpływający do bramki jest:",,"mniejszy o tyle razy od prądu drenu, o ile wynosi wzmocnienie tranzystora","równy w przybliżeniu 1 mA","zerowy"
175,"Mamy dwa kondensatory o pojemności 4,7 nF oraz 300 pF. Jak należy je połączyć, by uzyskać pojemność 5000 pF?",,"szeregowo","równolegle","nie da się uzyskać pojemności 5000 pF"
178,"Obwód rezonansowy szeregowy LC, w punkcie rezonansu, przedstawia:",,"tylko rezystancję","reaktancję pojemnościową","reaktancję indukcyjną"
179,"Zwiększenie rzędu filtru powoduje:",,"zwiększenie stromości zbocza","pogorszenie właściwości filtracyjnych","zmianę częstotliwości rezonansowej"
180,"Która klasa pracy wzmacniacza wprowadza najmniejsze zniekształcenia?",,"klasa AB","klasa A","klasa C"
183,"Szum fazowy jest wynikiem:",,"kluczowania fazy (PSK)","krótkich i niewielkich odchyleń częstotliwości generatora","mieszania się sygnałów o różnych fazach"
184,"Jako dzielnik częstotliwości w pętli synchronizacji fazy można użyć:",,"licznik","wzmacniacz operacyjny","dzielnik rezystorowy"
185,"W transceiverach SDR do przetwornika A/C doprowadza się sygnały kwadraturowe (oznaczone jako I oraz Q). Jaki jest tego cel?",,"Możliwość zaprogramowania demodulatora dla każdej emisji","Minimalizacja zniekształceń sygnału","Możliwość demodulacji sygnałów z dwóch różnych źródeł"
186,"Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez:",,"użycie przetwornika cyfrowo-analogowego","cyfrowe przestrajanie obwodu rezonansowego","cyfrowe sterowanie układem NE555"
187,"Dewiacja sygnału FM opisuje:",,"maksymalny odchył od częstotliwości nośnej","szerokość pasma sygnału","maksymalne różnice amplitudy sygnału"
188,"Zbyt szybkie narastanie i opadanie sygnału telegraficznego powoduje:",,"zakłócenia określane jako ""kliki""","zwiększenie mocy wyjściowej nadajnika,","zmniejszenie pasma używanego w tej emisji."
189,"Antena Yagi-Uda składa się co najmniej z: ",,"reflektora i wibratora","wibratora i directora","pięciu prętów aluminiowych   "
190,"Jeśli SWR w punkcie zasilania jest równy 1:1 to oznacza, że:",,"osiągnięto bardzo dobre dopasowanie linii zasilającej do nadajnika","antena jest zawsze najlepiej dopasowana","antena może pracować na kilku pasmach"
191,"Gdy antena jest w rezonansie, to:",,"moduł impedancji jest równy 50 Ω","reaktancja jest równa 0 Ω","reaktancja jest nieskończenie duża"
192,"Dipol półfalowy na pasmo 80 m prezentuje na paśmie 40 m",,"niską impedancję","bardzo wysoką impedancję","zwarcie"
193,"Dipol półfalowy na pasmo 40m można użyć na paśmie:",,"7 i 21 MHz","3,5 i 5 MHz","7 i 28 MHz"
194,"W antenie Yagi-Uda rolę wibratora pełni ",,"odcinek o długości 1/4 fali ","dipol półfalowy","rezonator całofalowy"
195,"Antena Yagi-Uda z wibratorem skierowanym równolegle do ziemi będzie miała polaryzację ",,"poziomą ","pionową ","lewoskrętną na półkuli południowej i prawoskrętną na północnej"
196,"Amatorskie radiolatarnie w paśmie 144 MHz pracują w polaryzacji poziomej. Czy można sygnał takiej radiolatarni odbierać anteną o polaryzacji pionowej?",,"tak, nie ma przeciwwskazań ","tak choć sygnał będzie znacznie słabszy niż przy zgodnej polaryzacji ","nie, może to spowodować uszkodzenie odbiornika lub anteny."
197,"Zysk anteny wyrażony jest w dBi. Względem jakiego źródła jest określony?",,"Dipola półfalowego","Anteny izotropowej","Anteny pionowej ćwierćfalowej"
200,"Moc EIRP to moc  równoważna wyznaczana względem:  ",,"dipola półfalowego","źródła izotropowego","anteny rezerwowej"
201,"Odbiornik został uszkodzony przez silny sygnał z anteny, pochodzący z pracującego w bezpośredniej bliskości nadajnika dużej mocy. Przyczyną uszkodzenia mogło być:",,"wyindukowanie silnego sygnału w.cz. w antenie odbiorczej","złe dostrojenie nadajnika","przeniesienie sygnału w.cz. po kablu zasilającym przez złe zasilanie odbiornika"
202,"Mamy antenę kierunkową A o zysku 3 dBi i antenę kierunkową B o zysku 6 dBi. Do każdej z nich podano sygnał o mocy 100 W. Ile całkowitej mocy wypromieniowała każda antena?",,"A - 100 W, B - 100 W","A - 200 W, B - 400 W","A - 100 W, B - 200 W"
203,"Współczynnik tył/przód (F/B ratio) pewnej anteny kierunkowej wynosi 19 db a jej zysk 10,5 dbd czy w sytuacji awarii rotora antenowego  lepiej będzie nadawać ""tyłem anteny"" korzystając z jej listka tylnego czy też przełączyć się na dipol półfalowy w tej samej polaryzacji? ",,"Przełączyć się na dipol","Pozostać przy antenie kierunkowej","to bez znaczenia dla nadawania"
204,"Poziomo powieszony dipol półfalowy promieniuje:",,"dookólnie","najmocniej w płaszczyźnie prostopadłej do osi zawieszenia dipola","najwięcej wzdłuż osi zawieszenia dipola"
205,"Zamierzasz zrobić łączność z kolegą znajdującym się we Włoszech przy pomocy dipola półfalowego na paśmie 20 m. W jakim kierunku najlepiej powiesić tę antenę?",,"na osi północ-południe","na osi wschód-zachód","nie użyję dipola, gdyż łączność będzie trudno nawiązać bez anteny kierunkowej Yagi-Uda"
206,"Linię symetryczną zawieszono w otwartej przestrzeni, podłączono do symetrycznego nadajnika i zakończono sztucznym obciążeniem. Czy wówczas linia promieniuje?",,"tak","nie","tak, jeśli jej długość przekracza 1/4 długości fali (jest linią długą)"
207,"Kabel koncentryczny po przytrzaśnięciu oknem uległ spłaszczeniu. Jak można go naprawić? ",,"należy zabezpieczyć uszkodzony fragment taśmą izolacyjną ","należy zastosować ekran miedziany na uszkodzonym fragmencie w celu zapobiegania wyciekowi w.cz ","ten fragment kabla nie nadaje się do użytku"
208,"Nadajnik połączono kablem koncentrycznym ze sztucznym obciążeniem. Prąd płynący w ekranie kabla koncentrycznego ma wartość:",,"zerową","niemożliwą do oszacowania","taką samą, jak prąd płynący w środkowej żyle"
209,"Pomiar SWR przy nadajniku wskazał wartość 1:1,5, ale mamy podejrzenie, że dopasowanie anteny jest niewłaściwe. Co może być przyczyną?",,"poziom zakłóceń lokalnych","tłumienie linii zasilającej","podejrzenie jest błędne, dopasowanie jest poprawne"
211,"Użycie baluna wskazane jest kiedy ",,"zasilamy antenę typu longwire kablem koncentrycznym ","zasilamy dipol półfalowy kablem koncentrycznym ","chcemy przetestować tłumienność linii symetrycznej"
212,"Włączenie tłumika w odbiorniku spowoduje:",,"poprawę odporności odbiornika na silne sygnały","poprawę stosunku sygnału do szumu na wejściu odbiornika","przestrojenie odbiornika"
213,"Dlaczego możliwe są dalekie łączności UKF między szczytami górskimi?",,"mniejsza gęstość atmosfery powoduje zminiejszenie tłumienia trasy ","anteny nadawcza i odbiorcza dzieli pusta przestrzeń ","brak pyłu zawieszonego zmniejsza dyfrakcję fali radiowej"
214,"Stabilne i ciągłe warunki łączności zapewnia w pasmach UKF:",,"łączność w zasięgu horyzontalnym","łączność troposferyczna","łączność przez odbicie od zorzy polarnej"
216,"Najlepsze długookresowe warunki propagacyjne występują:",,"zupełnie nieregularnie","co około 11 lat przy minimalnej aktywności słonecznej","co około 11 lat przy maksymalnej aktywności słonecznej"
217,"Wysoka aktywność słoneczna powoduje ",,"polepszenie propagacji w pasmach KF ","pogorszenie propagacji w pasmach KF ","nie ma wpływu na propagację fal radiowych"
218,"Częstotliwość MUF (Maximum Usable Frequency) określa się:",,"dla danej trasy łączności","dla danego nadajnika","dla każdego krótkofalowca"
219,"Aby nawiązać łączność na dalekie odległości na falach krótkich należy użyć:",,"anten o wysokim kącie promieniowania","anten o niskim kącie promieniowania","nadajnika o dużej mocy, antena i pasmo mogą być dowolne."
220,"Pewien krótkofalowiec zawsze kiedy wyjeżdżał na działkę pod Radomiem zawieszał w tym samym miejscu dipol półfalowy na wysokości 15 m nad poziomem gruntu. Niestety pewnego razu ze względu na uszkodzenie drabiny udało mu się powiesić go tylko na wysokości 3m. Zauważył że słyszy znacznie lepiej stacje polskie ale niestety przestał słyszeć stacje francuskie. Czym spowodowane było to zjawisko?",,"Spowodowane jest to zmianą kątów promieniowania anteny","Spowodowane jest to zmianą ogniskowej anteny","Wysokość zawieszenia nie miała wpływu na zaobserwowane zjawisko"
221,"Charakterystyczne okresowe zaniki sygnału na falach krótkich spowodowane są:",,"niewłaściwą pracą anteny","wielodrogową propagacją i zmianą tłumienia na trasie","utratą mocy nadajnika"
222,"Propagacja troposferyczna w paśmie UKF polega na:",,"wielokrotnym odbiciu fal pomiędzy troposferą i jonosferą","wielokrotnym odbiciu fal pomiędzy ziemią i troposferą","prowadzeniu fal przez dukty powstałe z warstw ciepłego i zimnego powietrza"
223,"Aby uzyskać możliwie najlepszy zasięg na falach ultrakrótkich należy:",,"użyć anteny promieniowania pionowego","zainstalować antenę nisko, by mieć jak najmniejsze zakłócenia","zainstalować antenę wysoko, by mieć jak najdalszy horyzont radiowy"
224,"Pewnego dnia krótkofalowiec w paśmie 50 MHz usłyszał stacje z południa Europy. Mogło się to zdarzyć:",,"zimą z racji na lokalne zanieczyszczenie powietrza","głównie latem, dzięki propagacji w warstwie sporadycznej E","latem z uwagi na mniejszą wilgotność powietrza"
225,"Skrót EME oznacza łączności z wykorzystaniem:",,"odbicia sygnału od Księżyca","odbicia sygnału od samolotu","odbicia sygnału od troposfery"
226,"Łączności EME można zrealizować:",,"na falach krótkich w paśmie 80 m","na falach ultrakrótkich przy pomocy anten kierunkowych","nie można, jest to zabronione"
227,"Silne trzaski obserwowane często na falach krótkich sa spowodowane:",,"przez odległe burze","przez pracę innych nadajników","przez niestabilność temperaturową generatora zadającego"
228,"Co można zrobić, by nawiązać łączność w trudnych warunkach, gdy sygnał SSB jest bardzo słabo słyszalny wśród szumów:",,"użyć emisji FM","przejść na telegrafię lub emisje cyfrowe do słabych sygnałów","jeśli na SSB sygnał jest ledwo słyszalny, to nic nie można zrobić"
229,"Antena na pasmo 2m została dołączona popularnym kablem koncentrycznym RG-58 o długości 100m. Dlaczego krótkofalowiec nie uważa takiej instalacji za optymalną:",,"Z racji na duże straty mocy w linii zasilającej","Kabel RG-58 ma niewłaściwą impedancję","Z racji na to, że kabel ten był używany w instalacjach CB Radio"
230,"Stacja o mocy 100 W na paśmie 20m jest odbierana z siłą sygnału S9. W przerwach emisji słychać także jej korespondenta o sile sygnału S4. Co się stanie jeśli stacja ta zmniejszy moc nadawania do 10 W:",,"nie usłyszymy jej w ogóle, 10 W to za mało na taką łączność","poprawi się jej modulacja","będziemy ją nadal słyszeć, być może z nieco większym szumem"
231,"Podczas prowadzenia łączności kierujemy się zasadą:",,"minimalnej mocy nadajnika, niezbędnej dla danej łączności","pracy z maksymalną mocą nadajnika","doboru mocy nadajnika do ograniczeń licencyjnych w kraju, z którym nawiązujemy łączność"
232,"Jak nazywa się przyrząd do pomiaru siły elektromotorycznej?",,"omomierz","woltomierz","amperomierz"
233,"Do pomiaru napięcia, które przekracza zakres miernika, można użyć:",,"szeregowo włączonego rezystora","dzielnika napięcia","wszystkie odpowiedzi są poprawne"
234,"Multimetr na zakresie napięcia prądu przemiennego został dołączony do układu elektronicznego. Co może być przyczyną niewłaściwych odczytów (zbyt niskich lub zbyt wysokich)::",,"uziemienie woltomierza,","woltomierz jest przystosowany do częstotliwości 50Hz, a w obwodzie jest sygnał w.cz.","końcówki pomiarowe są niezgodne z normą HSE GS38"
235,"Kondensator elektrolityczny 10µF został naładowany do napięcia 10V i odłączony od zasilacza. Dołączony do jego końcówek woltomierz wskazuje systematyczny spadek napięcia. Co może być przyczyną tego spadku:",,"oporność wewnętrzna woltomierza","strata prądu na końcówkach zasilających","promieniowanie radioaktywne otoczenia"
236,"Co pokazuje reflektometr dołączony między wyjście nadajnika a kabel antenowy?",,"dopasowanie linii zasilającej","rezonans anteny","dostrojenie nadajnika"
237,"Co można zmierzyć za pomocą analizatora widma:",,"Obecność i siłę sygnałów harmonicznych i niepożądanych w sygnale nadajnika","Czułość odbiornika na poszczególnych wycinkach widma radiowego","Dopasowanie anteny"
238,"Ręczny radiotelefon niskiej jakości został dołączony do zewnętrznej anteny i słyszalność stacji uległa znacznemu pogorszeniu. Jakie zjawisko może być tego przyczyną:",,"brak odpowiedniego przedwzmacniacza w.cz.","blokowanie odbiornika przez bardzo silne sygnały, także spoza pasm amatorskich","uszkodzenie odbiornika spowodowane sygnałem pobliskiego przemiennika w paśmie 2 m"
239,"Jeśli wzmacniacz mocy nie posiada pomiędzy ostatnim stopniem wzmocnienia a wyjściem antenowym filtru dolnoprzepustowego to",,"może zniekształcać sygnał wyjściowy na częstotliwości roboczej","może wprowadzać zakłócenia spowodowane przez nieodfiltrowane harmoniczne","ma optymalną konstrukcję"
